sample,word,freq,per1000,total_words,author
1,about,0,0,200,satoshi
1,after,0,0,200,satoshi
1,again,0,0,200,satoshi
1,against,0,0,200,satoshi
1,all,1,5,200,satoshi
1,and,3,15,200,satoshi
1,are,2,10,200,satoshi
1,been,0,0,200,satoshi
1,below,0,0,200,satoshi
1,between,0,0,200,satoshi
1,both,0,0,200,satoshi
1,but,0,0,200,satoshi
1,cannot,0,0,200,satoshi
1,could,5,25,200,satoshi
1,did,0,0,200,satoshi
1,down,0,0,200,satoshi
1,each,0,0,200,satoshi
1,few,0,0,200,satoshi
1,for,1,5,200,satoshi
1,from,1,5,200,satoshi
1,further,0,0,200,satoshi
1,had,0,0,200,satoshi
1,has,0,0,200,satoshi
1,have,3,15,200,satoshi
1,here,0,0,200,satoshi
1,him,0,0,200,satoshi
1,himself,1,5,200,satoshi
1,his,1,5,200,satoshi
1,how,0,0,200,satoshi
1,into,0,0,200,satoshi
1,itself,0,0,200,satoshi
1,more,4,20,200,satoshi
1,most,0,0,200,satoshi
1,myself,0,0,200,satoshi
1,not,2,10,200,satoshi
1,off,0,0,200,satoshi
1,other,0,0,200,satoshi
1,ought,0,0,200,satoshi
1,our,0,0,200,satoshi
1,out,0,0,200,satoshi
1,over,0,0,200,satoshi
1,own,0,0,200,satoshi
1,same,0,0,200,satoshi
1,should,1,5,200,satoshi
1,some,0,0,200,satoshi
1,such,0,0,200,satoshi
1,than,4,20,200,satoshi
1,that,7,35,200,satoshi
1,the,15,75,200,satoshi
1,their,0,0,200,satoshi
1,them,0,0,200,satoshi
1,then,2,10,200,satoshi
1,there,1,5,200,satoshi
1,these,0,0,200,satoshi
1,they,2,10,200,satoshi
1,this,0,0,200,satoshi
1,those,0,0,200,satoshi
1,through,0,0,200,satoshi
1,too,2,10,200,satoshi
1,under,0,0,200,satoshi
1,until,0,0,200,satoshi
1,was,0,0,200,satoshi
1,were,0,0,200,satoshi
1,what,0,0,200,satoshi
1,when,0,0,200,satoshi
1,where,0,0,200,satoshi
1,which,0,0,200,satoshi
1,while,0,0,200,satoshi
1,who,0,0,200,satoshi
1,with,1,5,200,satoshi
1,would,2,10,200,satoshi
1,you,0,0,200,satoshi
1,your,0,0,200,satoshi
1,yourself,0,0,200,satoshi
2,about,2,5.037783375314861,397,satoshi
2,after,0,0,397,satoshi
2,again,0,0,397,satoshi
2,against,0,0,397,satoshi
2,all,8,20.151133501259444,397,satoshi
2,and,15,37.78337531486146,397,satoshi
2,are,4,10.075566750629722,397,satoshi
2,been,0,0,397,satoshi
